quest_id,name,state,zone,required_level,quest_level,earliest_completion_level,task_class,objective_summary,time_optimistic_min,time_central_min,time_pessimistic_min,distance_index,missing_group_prerequisites,missing_single_prerequisites,next_quest,route_flags,confidence,xp_at_35,xp_at_36,xp_at_37,xp_at_38,xp_at_39,xp_at_40,xp_at_41,xp_at_42,xp_at_43,xp_at_44,xp_at_45,xp_at_46,xp_at_47,xp_at_48,xp_at_49,xp_at_50,xp_at_51,xp_at_52,xp_at_53,xp_at_54
2841,设备之战,available_at_35,丹莫罗,25,35,35,mixed_with_personal_item,item/task_item_world_object_pickup/xNone/Thermaplugg's Safe#142477@100%; item/multiple_creature_task_item_drops/xNone/麦克尼尔·瑟玛普拉格#7800@100%,12.08,23.92,43.68,,,,,"automatic_route_candidate_missing,cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target,object_respawn_and_multi_click_unknown",low_until_manual_review,9900,9900,9900,9900,9900,9900,7900,5900,4000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2842,主工程师斯库提,available_at_35,丹莫罗,20,35,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,2843,"automatic_route_candidate_missing,cross_zone_or_multi_zone",low_until_manual_review,660,660,660,660,660,660,520,400,260,130,70,70,70,70,70,70,70,70,70,70
1362,凄凉之地的科卡尔部族,active,凄凉之地,30,32,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,,,cross_zone_or_multi_zone,low_until_manual_review,1350,1350,1350,1050,800,540,260,130,130,130,130,130,130,130,130,130,130,130,130,130
1365,戴兹帕可汗,available_at_35,凄凉之地,30,35,35,single_named_drop,item/single_named_creature_task_item/x1/戴兹帕可汗#5600@100%,5.02,7.03,10.97,49.71,,,,,medium,8200,8200,8200,8200,8200,8200,6600,4900,3300,1650,820,820,820,820,820,820,820,820,820,820
5381,埃鲁索斯之手,available_at_35,凄凉之地,32,38,35,single_named_drop,item/single_named_creature_task_item/x1/恶魔灵魂#11876@100%,1.98,3.13,5.08,0.0,,,5581,,medium,7800,7800,7800,7800,7800,7800,7800,7800,7800,6300,4700,3100,1550,780,780,780,780,780,780,780
5386,食鱼度日,available_at_35,凄凉之地,32,37,35,item_source_not_in_questie,item/item_source_not_in_questie/x2/,1.9,3.4,7.4,0.0,,,,,low_until_manual_review,5500,5500,5500,5500,5500,5500,5500,5500,4400,3300,2200,1100,560,560,560,560,560,560,560,560
6142,蚌肉鱼饵,available_at_35,凄凉之地,31,35,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x10/深海巨人#4686@100%|深海搜寻者#4687@100%|滑刃纳迦#4711@100%|滑刃巫师#4712@100%|滑刃战士#4713@100%|滑刃侍从#4714@100%|滑刃智者#4718@100%|枯钳龙虾人#11562@100%,14.76,21.38,31.99,102.53,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
6143,另一种鱼,available_at_35,凄凉之地,32,36,35,multi_target_shared_kill,kill/regular_shared_kills/x7/滑刃侍从#4714; kill/regular_shared_kills/x7/滑刃纳迦#4711; kill/regular_shared_kills/x5/滑刃巫师#4712,15.92,21.65,32.21,102.53,,,,,medium,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
6161,拉克摩尔的财宝！,available_at_35_conditional_trigger,凄凉之地,30,36,35,mixed_with_personal_item,item/multiple_creature_task_item_drops/xNone/枯钳龙虾人#11562@15%|枯钳巨螯龙虾人#11563@15%; item/multiple_creature_task_item_drops/xNone/滑刃纳迦#4711@55%|滑刃巫师#4712@55%|滑刃战士#4713@55%|滑刃侍从#4714@55%|滑刃刺尾纳迦#4715@55%|滑刃潮行者#4716@55%|滑刃智者#4718@55%|滑刃海巫#4719@55%,9.62,21.23,48.32,21.98,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
1106,流放者马特克,active,千针石林,26,35,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,1108,cross_zone_or_multi_zone,low_until_manual_review,3300,3300,3300,3300,3300,3300,2600,2000,1300,660,340,340,340,340,340,340,340,340,340,340
1107,坚硬的尾鳍,active,千针石林,28,35,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x10/盐鳞战士#871@80%|盐鳞智者#873@80%|盐鳞首领#875@80%|盐鳞强盗#877@80%|盐鳞猎人#879@80%,20.17,39.54,68.55,1.38,,,,"cross_zone_or_multi_zone,drop_rate_required",low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
1117,地精的谣言,active,千针石林,30,36,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,,,cross_zone_or_multi_zone,low_until_manual_review,8700,8700,8700,8700,8700,8700,8700,7000,5200,3500,1750,880,880,880,880,880,880,880,880,880
1183,地精赞助商,active,千针石林,29,37,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,,1186,cross_zone_or_multi_zone,low_until_manual_review,1850,1850,1850,1850,1850,1850,1850,1850,1450,1100,740,360,180,180,180,180,180,180,180,180
5361,兄弟,active,千针石林,32,35,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,,cross_zone_or_multi_zone,low_until_manual_review,4900,4900,4900,4900,4900,4900,3900,2900,1950,980,500,500,500,500,500,500,500,500,500,500
1177,饿！,available_at_35,尘泥沼泽,32,36,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x8/黑鳍鱼人#4359@33%|黑鳍泥浆鱼人#4361@33%|黑鳍滩行鱼人#4362@33%|黑鳍智者#4363@33%|贼眼#14230@33%|刺脊#23841@33%,31.18,55.05,100.92,69.49,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
1201,塞拉摩间谍,available_at_35,尘泥沼泽,30,35,35,shared_kill,kill/regular_shared_kills/x9/塞拉摩间谍#4834,6.51,9.32,14.1,12.28,,,1202,,medium_high,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
1218,沼泽蛙的腿,available_at_35,尘泥沼泽,30,35,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x10/大型沼泽蛙#23979@100%,5.42,8.99,13.45,2.32,,,1206,drop_rate_required,low_until_manual_review,3300,3300,3300,3300,3300,3300,2600,2000,1300,660,340,340,340,340,340,340,340,340,340,340
1238,遗失的报告,available_at_35_conditional_trigger,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,2.24,3.19,5.18,20.28,,,,,medium_high,4900,4900,4900,4900,4900,4900,3900,2900,1950,980,500,500,500,500,500,500,500,500,500,500
1251,黑色盾牌,available_at_35_conditional_trigger,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,2.1,2.99,4.87,18.04,,,1321,,medium_high,1650,1650,1650,1650,1650,1650,1300,980,660,320,160,160,160,160,160,160,160,160,160,160
1263,燃烧的旅店,available_at_35,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,"automatic_route_candidate_missing,non_npc_finish_or_missing_finish,non_npc_start_or_missing_start",low_until_manual_review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,可疑的蹄印,available_at_35_conditional_trigger,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,2.1,2.99,4.87,18.04,,,,,medium_high,3300,3300,3300,3300,3300,3300,2600,2000,1300,660,340,340,340,340,340,340,340,340,340,340
1269,帕瓦尔·雷瑟上尉,available_at_35_conditional_trigger,尘泥沼泽,30,37,35,travel_dialogue_or_turnin,,2.1,2.99,4.87,18.04,,,,,medium_high,1850,1850,1850,1850,1850,1850,1850,1850,1450,1100,740,360,180,180,180,180,180,180,180,180
1272,寻找雷瑟,available_at_35,尘泥沼泽,30,37,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,"automatic_route_candidate_missing,non_npc_finish_or_missing_finish,non_npc_start_or_missing_start",low_until_manual_review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,吉姆的歌谣,available_at_35,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,1.9,4.4,10.4,,,,,"automatic_route_candidate_missing,non_npc_finish_or_missing_finish,non_npc_start_or_missing_start",low_until_manual_review,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9437,黎明号的黄昏,available_at_35,尘泥沼泽,33,37,35,mixed_with_personal_item,kill/regular_shared_kills/xNone/伊萨妮亚#17119; item/task_item_world_object_pickup/xNone/Warped Crates#181626@100%,3.85,5.57,8.74,25.87,,,,object_respawn_and_multi_click_unknown,low_until_manual_review,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
11124,调查废墟,available_at_35,尘泥沼泽,30,35,35,travel_dialogue_or_turnin,,2.06,2.94,4.79,17.47,,,,,medium_high,660,660,660,660,660,660,520,400,260,130,70,70,70,70,70,70,70,70,70,70
