collectionType,setName,requiredPieceCount,gorgeousMagicPetName,pieceName,category,setRole,obtainType,obtainMethod,obtained,rawText,notes
set,快乐的果实,3,,玩偶服-快乐的果实,玩偶服/连衣,magic_required,standard,待补充,是,玩偶服-快乐的果实,
set,魔法学院校服,5,,连衣-魔法学院校服,玩偶服/连衣,magic_required,standard,待补充,是,连衣-魔法学院校服,
single,,,,连衣-精灵学分院服,玩偶服/连衣,,standard,待补充,是,连衣-精灵学分院服,待核对套装归属；与套装“精灵学院分院服”名称不一致，未自动合并
single,,,,连衣-炼金学分院服,玩偶服/连衣,,standard,待补充,是,连衣-炼金学分院服,待核对套装归属；与套装“炼金学院分院服”名称不一致，未自动合并
set,仪典学分院服,4,,连衣-仪典学分院服,玩偶服/连衣,magic_required,standard,待补充,是,连衣-仪典学分院服,
set,战斗学分院服,4,,连衣-战斗学分院服,玩偶服/连衣,magic_required,standard,待补充,是,连衣-战斗学分院服,
set,明朗星愿,6,,连衣-明朗星愿,玩偶服/连衣,magic_required,standard,待补充,是,连衣-明朗星愿,
set,浪漫星愿,6,,连衣-浪漫星愿,玩偶服/连衣,magic_required,standard,待补充,是,连衣-浪漫星愿,
single,,,,连衣-宁静星愿,玩偶服/连衣,,standard,待补充,是,连衣-宁静星愿,待核对套装归属；与套装“宁静星原”名称不一致，未自动合并
set,音速犬印象,6,音速犬,连衣-音速犬印象,玩偶服/连衣,magic_required,standard,待补充,是,连衣-音速犬印象,
set,岚鸟印象,6,岚鸟,连衣-岚鸟印象,玩偶服/连衣,magic_required,standard,待补充,是,连衣-岚鸟印象,
set,厉毒修萝印象,6,厉毒修萝,连衣-厉毒修萝印象,玩偶服/连衣,magic_required,standard,待补充,是,连衣-厉毒修萝印象,
set,翠顶夫人印象,6,翠顶夫人,连衣-翠顶夫人印象,玩偶服/连衣,magic_required,standard,待补充,是,连衣-翠顶夫人印象,
set,圣代甜甜印象,6,圣代甜甜,连衣-圣代甜甜印象,玩偶服/连衣,magic_required,standard,待补充,是,连衣-圣代甜甜印象,
set,獠牙猪印象,6,獠牙猪,连衣-獠牙猪印象,玩偶服/连衣,magic_required,standard,待补充,是,连衣-獠牙猪印象,
set,爵士鹿印象,6,爵士鹿,连衣-爵士鹿印象,玩偶服/连衣,magic_required,standard,待补充,是,连衣-爵士鹿印象,
set,熔岩布丁印象,6,熔岩布丁,连衣-熔岩布丁印象,玩偶服/连衣,magic_required,standard,待补充,是,连衣-熔岩布丁印象,
set,蹦蹦花印象,6,蹦蹦花,连衣-蹦蹦花印象,玩偶服/连衣,magic_required,standard,待补充,是,连衣-蹦蹦花印象,
set,旧日的追忆,7,,上衣-旧日的追忆,上衣,magic_required,standard,待补充,是,上衣-旧日的追忆,
set,晴空的追忆,7,,上衣-晴空的追忆,上衣,magic_required,standard,待补充,是,上衣-晴空的追忆,
set,新芽的追忆,7,,上衣-新芽的追忆,上衣,magic_required,standard,待补充,是,上衣-新芽的追忆,
set,松果的追忆,7,,上衣-松果的追忆,上衣,magic_required,standard,待补充,是,上衣-松果的追忆,
set,正红的追忆,7,,上衣-正红的追忆,上衣,magic_required,standard,待补充,是,上衣，正红的追忆,
set,反叛的水手,7,,上衣-反叛的水手,上衣,magic_required,standard,待补充,是,上衣-反叛的水手,
set,夏日暖阳,6,,上衣-夏日暖阳,上衣,magic_required,standard,待补充,是,上衣-夏日暖阳,
set,糖心暖阳,6,,上衣-糖心暖阳,上衣,magic_required,standard,待补充,是,上衣-糖心暖阳,
set,凛冬革风,6,,上衣-凛冬革风,上衣,magic_required,standard,待补充,是,上衣-凛冬革风,
set,晴午革风,6,,上衣-晴午革风,上衣,magic_required,standard,待补充,是,上衣-晴午革风,
set,柿红革风,6,,上衣-柿红革风,上衣,magic_required,standard,待补充,是,上衣-柿红革风,
set,旧日的追忆,7,,下装-旧日的追忆,下装,magic_required,standard,待补充,是,下装-旧日的追忆,
single,,,,下装-晴空的回忆,下装,,standard,待补充,是,下装-晴空的回忆,待核对套装归属；“回忆/追忆”名称差异未自动合并
set,新芽的追忆,7,,下装-新芽的追忆,下装,magic_required,standard,待补充,是,下装-新芽的追忆,
single,,,,下装-松果的回忆,下装,,standard,待补充,是,下装-松果的回忆,待核对套装归属；“回忆/追忆”名称差异未自动合并
set,正红的追忆,7,,下装-正红的追忆,下装,magic_required,standard,待补充,是,下装-正红的追忆,
