quest_id,name,state,zone,required_level,quest_level,earliest_completion_level,task_class,objective_summary,time_optimistic_min,time_central_min,time_pessimistic_min,distance_index,missing_group_prerequisites,missing_single_prerequisites,next_quest,route_flags,confidence,xp_at_35,xp_at_36,xp_at_37,xp_at_38,xp_at_39,xp_at_40,xp_at_41,xp_at_42,xp_at_43,xp_at_44,xp_at_45,xp_at_46,xp_at_47,xp_at_48,xp_at_49,xp_at_50,xp_at_51,xp_at_52,xp_at_53,xp_at_54
2841,设备之战,available_at_35,丹莫罗,25,35,35,mixed_with_personal_item,item/task_item_world_object_pickup/xNone/Thermaplugg's Safe#142477@100%; item/multiple_creature_task_item_drops/xNone/麦克尼尔·瑟玛普拉格#7800@100%,12.08,23.92,43.68,,,,,"automatic_route_candidate_missing,cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target,object_respawn_and_multi_click_unknown",low_until_manual_review,9900,9900,9900,9900,9900,9900,7900,5900,4000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2842,主工程师斯库提,available_at_35,丹莫罗,20,35,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,2843,"automatic_route_candidate_missing,cross_zone_or_multi_zone",low_until_manual_review,660,660,660,660,660,660,520,400,260,130,70,70,70,70,70,70,70,70,70,70
1362,凄凉之地的科卡尔部族,active,凄凉之地,30,32,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,,,cross_zone_or_multi_zone,low_until_manual_review,1350,1350,1350,1050,800,540,260,130,130,130,130,130,130,130,130,130,130,130,130,130
1365,戴兹帕可汗,available_at_35,凄凉之地,30,35,35,single_named_drop,item/single_named_creature_task_item/x1/戴兹帕可汗#5600@100%,5.02,7.03,10.97,49.71,,,,,medium,8200,8200,8200,8200,8200,8200,6600,4900,3300,1650,820,820,820,820,820,820,820,820,820,820
1370,偷取物资,level_met_but_prerequisite_locked,凄凉之地,30,35,35,world_object_item_collection,item/task_item_world_object_pickup/x6/Sack of Meat#22245@100%,10.33,14.87,22.33,71.14,,"1368,1384",1373,object_respawn_and_multi_click_unknown,low_until_manual_review,3300,3300,3300,3300,3300,3300,2600,2000,1300,660,340,340,340,340,340,340,340,340,340,340
1371,瓦鲁格的玩具,level_met_but_prerequisite_locked,凄凉之地,30,35,35,item_source_not_in_questie,item/item_source_not_in_questie/x1/,1.9,3.4,7.4,0.0,,1369,,,low_until_manual_review,4900,4900,4900,4900,4900,4900,3900,2900,1950,980,500,500,500,500,500,500,500,500,500,500
1373,盎格库尔,level_met_but_prerequisite_locked,凄凉之地,30,37,35,single_named_drop,item/single_named_creature_task_item/x1/盎格库尔#5622@100%,9.83,20.9,39.71,0.0,,1370,1374,cross_zone_or_multi_zone,low_until_manual_review,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
1374,杰恩可汗,level_met_but_prerequisite_locked,凄凉之地,30,37,35,single_named_drop,item/single_named_creature_task_item/x1/杰恩可汗#5601@100%,5.77,8.16,12.86,59.51,,1373,1380,,medium,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
1375,沙卡可汗,level_met_but_prerequisite_locked,凄凉之地,30,37,35,single_named_drop,item/single_named_creature_task_item/x1/沙卡可汗#5602@100%,7.66,10.68,16.77,88.0,,1371,1381,,medium,7400,7400,7400,7400,7400,7400,7400,7400,5900,4500,3000,1500,740,740,740,740,740,740,740,740
1482,堕落者,level_met_but_prerequisite_locked,凄凉之地,25,35,35,single_named_drop,item/single_named_creature_task_item/x1/滑刃智者#4718@100%,8.0,11.02,17.16,95.95,,1481,,,medium,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
5381,埃鲁索斯之手,available_at_35,凄凉之地,32,38,35,single_named_drop,item/single_named_creature_task_item/x1/恶魔灵魂#11876@100%,1.98,3.13,5.08,0.0,,,5581,,medium,7800,7800,7800,7800,7800,7800,7800,7800,7800,6300,4700,3100,1550,780,780,780,780,780,780,780
5386,食鱼度日,available_at_35,凄凉之地,32,37,35,item_source_not_in_questie,item/item_source_not_in_questie/x2/,1.9,3.4,7.4,0.0,,,,,low_until_manual_review,5500,5500,5500,5500,5500,5500,5500,5500,4400,3300,2200,1100,560,560,560,560,560,560,560,560
6142,蚌肉鱼饵,available_at_35,凄凉之地,31,35,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x10/深海巨人#4686@100%|深海搜寻者#4687@100%|滑刃纳迦#4711@100%|滑刃巫师#4712@100%|滑刃战士#4713@100%|滑刃侍从#4714@100%|滑刃智者#4718@100%|枯钳龙虾人#11562@100%,14.76,21.38,31.99,102.53,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
6143,另一种鱼,available_at_35,凄凉之地,32,36,35,multi_target_shared_kill,kill/regular_shared_kills/x7/滑刃侍从#4714; kill/regular_shared_kills/x7/滑刃纳迦#4711; kill/regular_shared_kills/x5/滑刃巫师#4712,15.92,21.65,32.21,102.53,,,,,medium,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
6161,拉克摩尔的财宝！,available_at_35_conditional_trigger,凄凉之地,30,36,35,mixed_with_personal_item,item/multiple_creature_task_item_drops/xNone/枯钳龙虾人#11562@15%|枯钳巨螯龙虾人#11563@15%; item/multiple_creature_task_item_drops/xNone/滑刃纳迦#4711@55%|滑刃巫师#4712@55%|滑刃战士#4713@55%|滑刃侍从#4714@55%|滑刃刺尾纳迦#4715@55%|滑刃潮行者#4716@55%|滑刃智者#4718@55%|滑刃海巫#4719@55%,9.62,21.23,48.32,21.98,,,,"drop_rate_required,elite_or_rare_target",low_until_manual_review,7000,7000,7000,7000,7000,7000,7000,5600,4200,2800,1400,700,700,700,700,700,700,700,700,700
1106,流放者马特克,active,千针石林,26,35,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,,1108,cross_zone_or_multi_zone,low_until_manual_review,3300,3300,3300,3300,3300,3300,2600,2000,1300,660,340,340,340,340,340,340,340,340,340,340
1107,坚硬的尾鳍,active,千针石林,28,35,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x10/盐鳞战士#871@80%|盐鳞智者#873@80%|盐鳞首领#875@80%|盐鳞强盗#877@80%|盐鳞猎人#879@80%,20.17,39.54,68.55,1.38,,,,"cross_zone_or_multi_zone,drop_rate_required",low_until_manual_review,6600,6600,6600,6600,6600,6600,5300,4000,2600,1300,660,660,660,660,660,660,660,660,660,660
1108,精铁碎片,level_met_but_prerequisite_locked,千针石林,28,39,35,multi_creature_personal_drop,item/multiple_creature_task_item_drops/x10/石窟穴居人#2889|石窟斥候#2890|石窟击颅者#2891|石窟先知#2892@80%|石窟断骨者#2893@80%|石窟萨满祭司#2894@80%|石窟嚼石者#4851@100%|石窟猎手#4856@100%,18.49,34.9,61.27,,,1106,,"automatic_route_candidate_missing,cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target",low_until_manual_review,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,6600,5000,3300,1650,820,820,820,820,820,820
1117,地精的谣言,active,千针石林,30,36,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,,,cross_zone_or_multi_zone,low_until_manual_review,8700,8700,8700,8700,8700,8700,8700,7000,5200,3500,1750,880,880,880,880,880,880,880,880,880
1118,返回藏宝海湾,level_met_but_prerequisite_locked,千针石林,35,43,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,1117,,cross_zone_or_multi_zone,low_until_manual_review,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2000,1500,1000,500,260,260
1119,赞吉尔的药剂和蠢人酒,level_met_but_prerequisite_locked,千针石林,35,44,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,"621,1118",,,cross_zone_or_multi_zone,low_until_manual_review,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,8500,6300,4200,2100,1050
1120,灌醉侏儒,level_met_but_prerequisite_locked,千针石林,35,44,35,travel_dialogue_or_turnin,,0.96,1.48,2.53,1.03,,1119,,,medium_high,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,840,640,420,220,100
1121,灌醉地精,level_met_but_prerequisite_locked,千针石林,35,44,35,travel_dialogue_or_turnin,,0.96,1.48,2.53,1.03,,1119,,,medium_high,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,840,640,420,220,100
1122,向菲兹巴布报告,level_met_but_prerequisite_locked,千针石林,35,44,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,,,"1120,1121",,cross_zone_or_multi_zone,low_until_manual_review,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,4200,3100,2100,1050,520
1137,回复菲兹尔,level_met_but_prerequisite_locked,千针石林,28,38,35,travel_dialogue_or_turnin,,8.9,19.4,37.4,0.0,,1108,,cross_zone_or_multi_zone,low_until_manual_review,3900,3900,3900,3900,3900,3900,3900,3900,3900,3100,2300,1550,780,400,400,400,400,400,400,400
