quest_id,name,status,zone,required_level,quest_level,xp_db_level,xp_db_base,earliest_completion_level,xp_at_earliest_completion,task_class,objectives,time_optimistic_min,time_central_min,time_pessimistic_min,xp_per_central_minute,distance_index,pre_single,pre_group,next_quest,route_flags,confidence,manual_review
2841,设备之战,available_by_level_subject_to_prerequisites,丹莫罗,25,35,35,4950,35,9900,mixed_with_personal_item,item:task_item_world_object_pickup:count=None:sources=Thermaplugg's Safe; item:multiple_creature_task_item_drops:count=None:sources=麦克尼尔·瑟玛普拉格,11.71,33.83,81.83,292.6,,,,,"automatic_route_candidate_missing,cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target,object_respawn_and_multi_click_unknown",low_until_manual_review,"not_in_world_candidate_union,objective_count:missing_counts,server_drop_rate_needed"
2842,主工程师斯库提,available_by_level_subject_to_prerequisites,丹莫罗,20,35,35,330,35,660,travel_dialogue_or_turnin,,8.9,19.4,37.4,34.0,,,,2843,"automatic_route_candidate_missing,cross_zone_or_multi_zone",low_until_manual_review,not_in_world_candidate_union
2945,脏兮兮的戒指,available_by_level_subject_to_prerequisites,丹莫罗,28,34,34,4650,35,9300,travel_dialogue_or_turnin,,1.9,4.4,10.4,2113.6,,,,,automatic_route_candidate_missing,low_until_manual_review,not_in_world_candidate_union
2949,戒指归来,available_by_level_subject_to_prerequisites,丹莫罗,28,34,34,3100,35,6200,travel_dialogue_or_turnin,,8.9,19.4,37.4,319.6,,2945,,2950,"automatic_route_candidate_missing,cross_zone_or_multi_zone",low_until_manual_review,not_in_world_candidate_union
2951,超级清洁器5200型！,available_by_level_subject_to_prerequisites,丹莫罗,25,30,0,0,35,0,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=3:sources=洞窟入侵者,洞窟强夺者,洞窟抢劫者,辐射入侵者",10.93,30.33,71.28,,0.0,,,,"cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target",low_until_manual_review,server_drop_rate_needed
2952,超级清洁器5200型！,available_by_level_subject_to_prerequisites,丹莫罗,25,30,30,2450,35,4900,travel_dialogue_or_turnin,,1.9,4.4,10.4,1113.6,,2951,,,automatic_route_candidate_missing,low_until_manual_review,not_in_world_candidate_union
4601,超级清洁器5200型！,available_by_level_subject_to_prerequisites,丹莫罗,25,30,0,0,35,0,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=3:sources=洞窟入侵者,洞窟强夺者,洞窟抢劫者,辐射入侵者",10.93,30.33,71.28,,0.0,,,,"cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target",low_until_manual_review,server_drop_rate_needed
4602,超级清洁器5200型！,available_by_level_subject_to_prerequisites,丹莫罗,25,30,0,0,35,0,multi_creature_personal_drop,"item:multiple_creature_task_item_drops:count=3:sources=洞窟入侵者,洞窟强夺者,洞窟抢劫者,辐射入侵者",10.93,30.33,71.28,,0.0,,,,"cross_zone_or_multi_zone,drop_rate_required,dungeon_objective_source,elite_or_rare_target",low_until_manual_review,server_drop_rate_needed
4605,超级清洁器5200型！,available_by_level_subject_to_prerequisites,丹莫罗,25,30,30,2450,35,4900,travel_dialogue_or_turnin,,1.9,4.4,10.4,1113.6,,4601,,,automatic_route_candidate_missing,low_until_manual_review,not_in_world_candidate_union
4606,超级清洁器5200型！,available_by_level_subject_to_prerequisites,丹莫罗,25,30,30,2450,35,4900,travel_dialogue_or_turnin,,1.9,4.4,10.4,1113.6,,4602,,,automatic_route_candidate_missing,low_until_manual_review,not_in_world_candidate_union
